Source page: http://data1.cde.ca.gov/dataquest/2000Base_Co.asp?cYear=&cSelect=38,SAN,FRANCISCO,,,,,,,,
link,link/_text,link/_title,content,value_1,value_2,value_3,value_4,value_5,value_6,value_7
,,,,STAR,Students,,2000,2000,2000-,
,,,,2000,Included,2000,State-,Similar,2001,2001
,,,Click on column header link to view notes.,Percent,in the,API,wide,Schools,Growth,API
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6062020&DistCode=68478&AllCds=38684786062020,Aptos Middle,,Aptos Middle,91,577,646,5,5,8,654
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6059836&DistCode=68478&AllCds=38684786059836,Benjamin Franklin Middle,,Benjamin Franklin Middle,66,340,559,3,7,12,571
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6113237&DistCode=68478&AllCds=38684786113237,Davis (Gloria R.) Middle,,Davis (Gloria R.) Middle,96,297,449,1,3,18,467
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6062038&DistCode=68478&AllCds=38684786062038,Everett Middle,,Everett Middle,90,384,500,2,1,15,515
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6059844&DistCode=68478&AllCds=38684786059844,Francisco Middle,,Francisco Middle,89,423,649,5,8,8,657
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6059851&DistCode=68478&AllCds=38684786059851,Herbert Hoover Middle,,Herbert Hoover Middle,96,1115,797,9,8,1,798
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6062046&DistCode=68478&AllCds=38684786062046,Horace Mann Middle,,Horace Mann Middle,99,560,603,4,4,10,613
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6059869&DistCode=68478&AllCds=38684786059869,James Denman Middle,,James Denman Middle,94,657,593,4,1,10,603
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6062053&DistCode=68478&AllCds=38684786062053,James Lick Middle,,James Lick Middle,93,415,551,3,2,12,563
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6059885&DistCode=68478&AllCds=38684786059885,King (Martin Luther Jr) Academic Middle,,King (Martin Luther Jr) Academic Middle,97,437,677,6,10,6,683
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6059877&DistCode=68478&AllCds=38684786059877,Luther Burbank Middle,,Luther Burbank Middle,95,600,536,2,1,13,549
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6062061&DistCode=68478&AllCds=38684786062061,Marina Middle,,Marina Middle,94,722,754,8,10,2,756
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6072052&DistCode=68478&AllCds=38684786072052,Potrero Hill Middle,,Potrero Hill Middle,83,316,482,1,1,16,498
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6062079&DistCode=68478&AllCds=38684786062079,Presidio Middle,,Presidio Middle,96,1053,825,10,8,#,#
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6059901&DistCode=68478&AllCds=38684786059901,Roosevelt Middle,,Roosevelt Middle,100,706,748,8,10,3,751
http://data1.cde.ca.gov/dataquest/2000Base_sch.asp?SchCode=6059919&DistCode=68478&AllCds=38684786059919,Visitacion Valley Middle,,Visitacion Valley Middle,89,399,609,4,4,10,619
