Source page: http://data1.cde.ca.gov/dataquest/2002Base_Co.asp?cYear=&cSelect=38,SAN,FRANCISCO,
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6072052&DistCode=10389&AllCds=38103896072052,Enola D. Maxell,,Enola D. Maxell 267 484 1 1 16 500
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6062038&DistCode=10389&AllCds=38103896062038,Everett Middle,,Everett Middle 534 509 1 1 15 524
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6059844&DistCode=10389&AllCds=38103896059844,Francisco Middle,,Francisco Middle 533 631 4 1 8 639
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6059851&DistCode=10389&AllCds=38103896059851,Herbert Hoover Middle,,Herbert Hoover Middle 1265 759 8 2 2 761
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6062046&DistCode=10389&AllCds=38103896062046,Horace Mann Middle,,Horace Mann Middle 555 582 3 4 11 593
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6059869&DistCode=10389&AllCds=38103896059869,James Denman Middle,,James Denman Middle 696 625 4 3 9 634
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6062053&DistCode=10389&AllCds=38103896062053,James Lick Middle,,James Lick Middle 501 571 2 3 11 582
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6059885&DistCode=10389&AllCds=38103896059885,King (Martin Luther) Mid.,,King (Martin Luther) Mid. 507 628 4 7 9 637
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6059877&DistCode=10389&AllCds=38103896059877,Luther Burbank Middle,,Luther Burbank Middle 594 558 2 1 12 570
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6062061&DistCode=10389&AllCds=38103896062061,Marina Middle,,Marina Middle 997 711 7 10 4 715
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6062079&DistCode=10389&AllCds=38103896062079,Presidio Middle,,Presidio Middle 1172 820 10 9 A A
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6059901&DistCode=10389&AllCds=38103896059901,Roosevelt Middle,,Roosevelt Middle 761 725 7 9 4 729
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6059919&DistCode=10389&AllCds=38103896059919,Visitacion Valley Middle,,Visitacion Valley Middle 532 585 3 1 11 596
,,,High Schools
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3833241&DistCode=10389&AllCds=38103893833241,Abraham Lincoln High,,Abraham Lincoln High 1719 686 7 1 6 692
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3830288&DistCode=10389&AllCds=38103893830288,Balboa High,,Balboa High 682 463 1 1 17 480
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3830254&DistCode=10389&AllCds=38103893830254,Burton (Phillip & Sala) A,,Burton (Phillip & Sala) A 1040 664 6 9 7 671
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3831765&DistCode=10389&AllCds=38103893831765,Galileo High,,Galileo High 1186 580 3 3 11 591
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3830437&DistCode=10389&AllCds=38103893830437,Gateway,,Gateway 298 706 8 4 5 711
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3839081&DistCode=10389&AllCds=38103893839081,George Washington High,,George Washington High 1548 706 8 5 5 711
http://data1.cde.ca.gov/dataquest/Flag02b4.htm?C=38&D=68478&S=3830197&SN=Independence%A0High%A0(Alter.&DN=San%A0Francisco%A0Unified&CN=San%A0Francisco,Independence High (Alter.,,Independence High (Alter.
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3830353&DistCode=10389&AllCds=38103893830353,Intl Studies Academy,,Intl Studies Academy 353 543 2 1 13 556
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3830411&DistCode=10389&AllCds=38103893830411,Leadership High (Char),,Leadership High (Char) 260 702 8 9 5 707
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3833407&DistCode=10389&AllCds=38103893833407,Lowell High,,Lowell High 1904 919 10 10 A A
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3830403&DistCode=10389&AllCds=38103893830403,Marshall (Thurgood) High,,Marshall (Thurgood) High 719 615 4 2 9 624
http://data1.cde.ca.gov/dataquest/Flag02b4.htm?C=38&D=68478&S=3830072&SN=McAteer%A0(J.%A0Eugene)%A0High&DN=San%A0Francisco%A0Unified&CN=San%A0Francisco,McAteer (J. Eugene) High,,McAteer (J. Eugene) High
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3834082&DistCode=10389&AllCds=38103893834082,Mission High,,Mission High 532 427 1 1 19 446
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3830163&DistCode=10389&AllCds=38103893830163,Newcomer High (Lep),,Newcomer High (Lep) 201 320 1 1 24 344
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3834769&DistCode=10389&AllCds=38103893834769,O'Connell (John A.) High,,O'Connell (John A.) High 416 527 2 2 14 541
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3830205&DistCode=10389&AllCds=38103893830205,Raoul Wallenberg Traditional H,,Raoul Wallenberg Traditional H 470 702 8 9 5 707
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3830387&DistCode=10389&AllCds=38103893830387,School of the Arts (High),,School of the Arts (High) 269 774 10 5 1 775
,,,Small Schools
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6089569&DistCode=10389&AllCds=38103896089569,Chinese Education Center,,Chinese Education Center 20 385 * 1 * N/A 21 406
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6089585&DistCode=10389&AllCds=38103896089585,Mission Education Center,,Mission Education Center 66 302 * 1 * N/A 25 327
,,,ASAM Schools
http://data1.cde.ca.gov/dataquest/Flag02b4.htm?C=38&D=68478&S=3830064&SN=Downtown%A0High%A0School&DN=San%A0Francisco%A0Unified&CN=San%A0Francisco,Downtown High School,,Downtown High School
http://data1.cde.ca.gov/dataquest/Flag02b4.htm?C=38&D=68478&S=3830031&SN=Ida%A0B.%A0Wells%A0Alternative/Continuation%A0Hi&DN=San%A0Francisco%A0Unified&CN=San%A0Francisco,Ida B. Wells Alternative/Continuation Hi,,Ida B. Wells Alternative/Continuation Hi
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=3830429&DistCode=10389&AllCds=38103893830429,Life Learning Academy Charter School,,Life Learning Academy Charter School 29 519
http://data1.cde.ca.gov/dataquest/2002Base_DstApi.asp?cYear=2001-02&cSelect=3875648&cChoice=2002BApiD,STATE BOARD OF EDUCATION CHART,,STATE BOARD OF EDUCATION CHART
,,,Elementary Schools
http://data1.cde.ca.gov/dataquest/2002Base_sch.asp?SchCode=6040935&DistCode=10389&AllCds=38103896040935,Edison Charter,,Edison Charter 303 589 2 3 11 600
