Source page: http://data1.cde.ca.gov/dataquest/API2005/2004Base_Co.aspx?cYear=&cSelect=38,SAN,FRANCISCO,
links,links/_text,links/_title,content
,,,Ranks Ranks Targets Targets
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783831765,Galileo High,,"Galileo High 1,363 674 6 8 6 680"
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830437,Gateway High,,Gateway High 313 734 8 6 3 737
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783839081,George Washington High,,"George Washington High 1,691 777 9 7 1 778"
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830353,International Studies Academy,,International Studies Academy 278 555 1 2 12 567
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830411,Leadership High (Char),,Leadership High (Char) 267 681 6 7 6 687
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783833407,Lowell High,,"Lowell High 1,897 941 10 10 A A"
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830403,Marshall (Thurgood) Academic High,,Marshall (Thurgood) Academic High 665 606 3 2 10 616
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783834082,Mission High,,Mission High 522 528 1 2 14 542
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830163,Newcomer High (Lep),,Newcomer High (Lep) 267 388 1 1 21 409
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783834769,O'Connell (John A.) High,,O'Connell (John A.) High 608 578 2 4 11 589
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830205,Raoul Wallenberg Traditional High,,Raoul Wallenberg Traditional High 456 712 7 6 4 716
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830387,School of the Arts (High),,School of the Arts (High) 414 758 9 4 2 760
,,,Small Schools
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684780102087,Aim High Academy,,Aim High Academy 87 631 * 3 * N/A 8 639
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786089569,Chinese Education Center,,Chinese Education Center 73 463 * 1 * N/A 17 480
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684780101261,Cross Cultural Enviromental Leader,,Cross Cultural Enviromental Leader 53 523 * 1 * N/A 14 537
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786041081,Golden Gate Elementary,,Golden Gate Elementary 77 722 * 5 * N/A 4 726
http://data1.cde.ca.gov/dataquest/API2005/Flag04Base.aspx?flag=3%20&allcds=38684783830197,Independence High (Alter.),,Independence High (Alter.)
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684780101337,KIPP Bayview Academy,,KIPP Bayview Academy 73 648 * 2 * N/A 8 656
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684780101352,KIPP San Francisco Bay Academy,,KIPP San Francisco Bay Academy 56 691 * 4 * N/A 5 696
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786089585,Mission Education Center,,Mission Education Center 71 323 * 1 * N/A 24 347
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684780102103,Small School for Equity,,Small School for Equity 88 657 * 5 * N/A 7 664
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684786119614,The Jump Academy,,The Jump Academy 57 527 * 1 * N/A 14 541
,,,ASAM Schools
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830064,Downtown High (Cont.),,Downtown High (Cont.) 51 375 * B * B B B
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830429,Life Learning Academy Charter #140,,Life Learning Academy Charter #140 31 559 * B * B B B
http://data1.cde.ca.gov/dataquest/API2005/2004BaseSch.aspx?cYear=2003-04&allcds=38684783830031,Wells (Ida B.) Altern./Cont. High,,Wells (Ida B.) Altern./Cont. High 64 432 * B * B B B
http://data1.cde.ca.gov/dataquest/API2005/2004Base_DstAPI.aspx?cYear=2003-04&cSelect=3875648&cChoice=2004BApiD,Edison Charter Academy,,Edison Charter Academy 272 677 3 7 6 683
