Source page: http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgcty.aspx?allcds=38,,,,,,,,
countylistof_link,countylistof_link/_text,countylistof_link/_title,countylistof_content,cdscode_number,schoollevele_value,2013growth_number,nonweighted_number,weightedyear_number
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786059851,Hoover (Herbert) Middle,,Hoover (Herbert) Middle,38; 68478; 6059851,M,817,820,820
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786059885,King Jr. (Martin Luther) Academic Middle,,King Jr. (Martin Luther) Academic Middle,38; 68478; 6059885,M,695,695,695
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684780101337,KIPP Bayview Academy,,KIPP Bayview Academy,38; 68478; 101337,M,838,856,856
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684780101352,KIPP San Francisco Bay Academy,,KIPP San Francisco Bay Academy,38; 68478; 101352,M,868,878,879
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786062053,Lick (James) Middle,,Lick (James) Middle,38; 68478; 6062053,M,751,746,746
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786062061,Marina Middle,,Marina Middle,38; 68478; 6062061,M,804,803,803
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786062079,Presidio Middle,,Presidio Middle,38; 68478; 6062079,M,892,884,884
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786059901,Roosevelt Middle,,Roosevelt Middle,38; 68478; 6059901,M,875,863,863
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684786059919,Visitacion Valley Middle,,Visitacion Valley Middle,38; 68478; 6059919,M,613,641,638
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684780119958,Academy of Arts and Sciences,,Academy of Arts and Sciences,38; 68478; 119958,H,699,693,693
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684783830387,Asawa (Ruth) San Francisco School of the,,Asawa (Ruth) San Francisco School of the,38; 68478; 3830387,H,852,844,844
http://data1.cde.ca.gov/dataquest/Acnt2014/apiavgsch.aspx?allcds=38684783830288,Balboa High,,Balboa High,38; 68478; 3830288,H,759,772,772
